hCT0x9JiGXBQ,58125,varzea paulista,SP
PxA7fv9spyhx,3112,armacao dos buzios,RJ
g3nXeJkGI0Qw,4119,jandira,SP
EOEsCQ6QlpIg,18212,uberlandia,MG
mVz5LO2Vd6cL,88868,ilhabela,SP
UkqnhxmX7YMP,25902,porto uniao,SC
85jiDiGSfhTu,4762,guarulhos,SP
gDdkaN8b9s1g,75870,mogi-guacu,SP
9Csx6oXlpLl1,69068,bebedouro,SP
gZTPKLPRnreg,20921,sao paulo,SP
TDEBQrhIwApB,1223,itaperuna,RJ
1k71TCYNFCzj,11703,serra,ES
IfWKDQHkjLDd,32407,sao goncalo,RJ
kZ0rkJCJ6N5y,13843,mogi das cruzes,SP
zsCKIdqYLV01,2961,caico,RN
FrEvnEiMKGpr,28630,sao paulo,SP
3zvaY9gUH9bO,59020,barra mansa,RJ
bUornDCZmRD4,3440,sao paulo,SP
qEVfsXFU3er9,3936,apora,BA
mPg90mQwmDOP,85140,brasilia,DF
v6GelvnCrAk5,18500,sao paulo,SP
lZ0pUFQvjZNA,37589,lorena,SP
ckZATUjYdFd3,54070,sao paulo,SP
GuxDt46GwQEd,95912,canoas,RS
SPV4UclettEh,75132,nova iguacu,RJ
GpdbWoJi61Qc,20011,caruaru,PE
KD8KlSTtIm3Z,85155,sao lourenco da mata,PE
QU7yWUgfIpJX,35360,novo hamburgo,RS
rgjb3WchpjHg,57690,goiania,GO
JyHhNu9cbCo1,57180,belo horizonte,MG
Jw0zo2CWiEs7,95925,sao paulo,SP
MXiUFyGLUs2Z,89031,nova serrana,MG
oiBrZODbJTvz,17017,guacui,ES
mcuPjOLRkNpR,77807,sao paulo,SP
yOjH9Exn64WQ,11680,sao paulo,SP
yca6TkmY4yQm,50720,sao joao de meriti,RJ
LooHWGt3K5gp,88650,sao pedro da uniao,MG
oZqYD7eyV1EJ,93346,brasilia,DF
0hj86xqZbYSV,53610,sao jose,SC
l2wCGNSY1l3Z,58900,itatiba,SP
ukZ709Rl8bdF,3809,sao paulo,SP
iFsAJRrzVaTS,4932,sao paulo,SP
tSG89uyaK6MS,66040,ribeirao preto,SP
Ex7BhwPvrGyQ,4551,santana do acarau,CE
f4Frm4WEvj1g,45890,sao paulo,SP
ORO4ADUB1jHd,83075,curitiba,PR
jQ0u9oBPe3Mg,79620,sao paulo,SP
0I8vL0BlM1p1,2943,atibaia,SP
JtX09eqY5lk3,74943,sao paulo,SP
sk3z82bQhZAO,25651,recife,PE
eSqRKROmKF9Y,65210,florianopolis,SC
SNzA2roBQaGK,31744,rio de janeiro,RJ
IGPOK4wVaGbv,13065,taubate,SP
45WzrefbE0kB,99025,sao paulo,SP
dGD1MVag3snm,1050,curitiba,PR
EI8c9beFpTSQ,75388,santa ines,MA
YanexVtkhb2B,6810,santos,SP
iaDXrhsLGSc6,40354,belo horizonte,MG
hWGGX7sEla9R,36090,araras,SP
MNcdWG4E5iDb,72548,brasilia,DF
7mxdMPX1ERJj,9445,uberlandia,MG
JJe2PPwxISzG,25545,santa cruz do rio pardo,SP
cnalXbv8lRur,65302,cubatao,SP
Vpl3DrXMAEhb,65935,itapolis,SP
cWwtMYBNlwy1,98010,porto alegre,RS
bEh2OYyGVzcI,59075,timoteo,MG
3JeAegsqlpZ1,65510,sao paulo,SP
6gl6qALuNSUL,6394,claudio,MG
rAV7gKaOWkEy,71740,bofete,SP
CiOHqzRk5bbt,9603,manhuacu,MG
tIPFV5qJBgvT,78885,tatui,SP
yD2x7GOSsjqA,76470,governador valadares,MG
a9gFQyCfrVym,3920,parnaiba,PI
dXsploeBzop3,2757,curitiba,PR
9tQzKeNKhIoQ,3809,sao paulo,SP
TLYzpBJ3Cbnv,4854,uberlandia,MG
J2bElQYq3gEQ,11446,carapicuiba,SP
lFEdYUjKo6tu,48010,bom jesus da penha,MG
8tpStNEuJ43p,26293,porto alegre,RS
qvo2fc2aRUvp,63515,itu,SP
pk1Ke0Nxac36,33930,rio de janeiro,RJ
UlqYPqEYgETA,8535,nilopolis,RJ
M7wmpVTfmiFp,25545,santa cruz do rio pardo,SP
4YfVSBGWPVdv,30662,santos,SP
pqIfz7jRxaKh,7911,sao bernardo do campo,SP
5XGKxFrzDdYP,25804,caiua,SP
oWBBqGwqpx4m,75630,bom jesus,PI
EeCs1w6JNdPU,39363,primavera do leste,MT
hgHQgpZ9rVHu,95870,itajai,SC
uvuFFZDOAlU7,93410,sao paulo,SP
bVaqeOVzrNj1,58580,niteroi,RJ
EZkjVsEKMQF0,88130,araraquara,SP
LkYwWbX35V3p,36700,sao paulo,SP
paCiJAGDh54D,12053,piracicaba,SP
wuCRBXrAQIyN,86375,goiania,GO
jsuJ85mr7Rlb,31525,guarulhos,SP
7qqTmdyVGDMP,99990,sao goncalo,RJ
ebCRKHmjYa2q,82640,joinville,SC
ap5gXjoc79ju,48020,sao paulo,SP
63cb18M1Z31w,4114,ibirite,MG
cIIcBGeYxzLl,21640,palhoca,SC
asn6Y9BiG6Ma,2261,curitiba,PR
MdXOdiX1GYJB,25560,itupeva,SP
DFT8eetndqim,99250,monte azul paulista,SP
pfARTA1RWJhn,26140,joinville,SC
G7fLaaLEAieo,44092,concordia,SC
VOohNhPUdkDS,3274,araraquara,SP
dvl5K6eo1ouv,62800,osasco,SP
Nxs89iJKBJ8Z,2185,jundiai,SP
fo2DhPj0geOU,5642,januaria,MG
ufG7Q9l2g5Dn,25680,sao paulo,SP
uJZ6s76zSxtN,95173,campinas,SP
gngo3QnJVUXB,56460,sao paulo,SP
HtPYXtaKFzex,49180,belo horizonte,MG
xIjzSNbQQ1uw,94451,sao bernardo do campo,SP
3qJ5VThdsczu,6010,uberlandia,MG
lZCaJq9iYKt0,59015,brasilia,DF
ncBjZzosb18g,29330,dom pedrito,RS
E1CIwdUAL7mV,4734,rio de janeiro,RJ
QsVvy2vjoqJ2,88350,passo fundo,RS
eWPTvp2Uxgjr,70298,dourados,MS
SDjEL1DMM89j,3974,assis,SP
A5ypt74Dm5ED,39900,acarau,CE
M8toooCMGG65,39625,porto alegre,RS
YeToIjRZbK1b,4832,sao paulo,SP
zwFtWWaE2Ja8,37305,vera,MT
Yu7y0eUjrMjF,1414,sao bernardo do campo,SP
tvBnqB57rQrh,2634,betim,MG
EmOTT0NimdgC,64080,resende,RJ
3QWW2QATQoks,2247,maua,SP
9U87V4FA6owh,70865,sao paulo,SP
LGiyKX8bqvRl,59300,telemaco borba,PR
JG5L1Y6huM3k,26572,peruibe,SP
grsbZ5L1H5ty,19030,monte carmelo,MG
ZLVSgLGIBt50,85303,assis,SP
LFLEYmt3mGzI,29192,rio de janeiro,RJ
26bdBz0weg9K,28145,carapicuiba,SP
iWDrWao0rL2O,89108,taubate,SP
6rX0opAYaf5O,92323,santos,SP
WnCydkx96ul3,13609,buenopolis,MG
frNd2yIHhY1X,76390,paranaita,MT
5aMM3LwvZE6p,9655,recife,PE
5nowe7IWIlDi,2932,sao paulo,SP
nOJb8kxjeqMu,89202,caxias do sul,RS
qVYMpdAeuyNn,31746,campinas,SP
9QRPPukPDKtj,37136,betim,MG
ejNZQ7X7x2T3,94950,teresina,PI
Aecwfm7Hmsal,13170,cascavel,PR
tc4f86hhYwpB,95250,salvador,BA
u1gplSGJr1m5,11661,salvador,BA
JOJJwXBnFMcH,83411,curitiba,PR
txfGakDnlUkr,35325,lagoa d'anta,RN
Hv2CJ4UgONx7,26263,betim,MG
aptoeeHlIxbP,33120,ribeirao preto,SP
Df666drgmPfx,42721,paranagua,PR
DRJMerHUON15,6690,matupa,MT
7oijac5SpbW5,4690,guarulhos,SP
N9TistbY5amC,4880,sao jose dos campos,SP
CWALhpNIASHI,95835,carapicuiba,SP
jnoKHCWQzJID,79115,lencois paulista,SP
eKhyaqjCe7PA,24310,campo mourao,PR
0XrxfhxhjXYE,74660,rio de janeiro,RJ
yBX7ugjJOTSS,6030,itumbiara,GO
oCaEiLxD6fHF,45710,sao paulo,SP
I94cAhDO80TM,35470,ferraz de vasconcelos,SP
nyVwdmiDhhG6,39780,belo horizonte,MG
uQoGZ4NfZUsh,35894,conchal,SP
5dFJ3hGKYymc,89970,ipatinga,MG
fvrCaNELssNc,97385,sao paulo,SP
g0UqYq0z41XR,74460,niteroi,RJ
VBhPvelXEBtq,95181,diamantino,MT
TSar8iKGBFdD,88704,niteroi,RJ
YsC9HcNGEOnJ,15010,cabralia paulista,SP
UXwfLujVOTVL,60175,jarinu,SP
sllkB0XGYrxT,83413,taubate,SP
OSFTagz8LUCX,64645,sao paulo,SP
IG0zdwpicn3n,3185,florianopolis,SC
gvNtQarZgOr8,28664,aracaju,SE
YeOwwF3fdWgu,66115,jundiai,SP
HTmirdxNO6w3,3553,niteroi,RJ
ROKLVaGH8de0,75220,duque de caxias,RJ
vqxOoMq59uav,2532,blumenau,SC
RoIfzwKM1yvo,3928,rio de janeiro,RJ
E1orXI8bLrNV,89065,sao paulo,SP
FOHBkie5YOyT,7273,sao luis,MA
e2pbPEjaeR6m,66035,rio de janeiro,RJ
elCsLJhTBJtl,55590,paraty,RJ
rCX2RwzGubEQ,78455,mogi das cruzes,SP
xbIMznITKpTA,87709,conceicao de macabu,RJ
BKYTz5VyeBBd,17034,brasilia,DF
abN6KF4qdL4n,4859,sao bernardo do campo,SP
Azn5ULeYYh8s,9160,santos,SP
78uia3DgAfNK,12960,santa isabel,SP
Py7WXu4L3Wmi,65870,guarulhos,SP
CFLESwh13Z7B,64820,adamantina,SP
SaNj4MhzahVL,69099,salvador,BA
qk3Ys1QXliaP,26113,barueri,SP
