Axfy13Hk4PIk,90K0C1fIyQUf,ZWM05J9LcBSF,223.51,84.65
v6px92oS8cLG,qejhpMGGVcsl,IjlpYfhUbRQs,170.8,23.79
Ulpf9skrhjfm,qUS5d2pEAyxJ,77p2EYxcM9MD,64.4,17.38
bwJVWupf2keN,639iGvMyv0De,jWzS0ayv9TGf,264.5,30.72
Dd0QnrMk9Cj5,1lycYGcsic2F,l1pYW6GBnPMr,779.9,30.66
VjTVGzqe8U6R,TpFZIk33uyGn,XePbD5Ocm6Yk,263.9,40.26
xNba906m4TM1,Y0T4Ca4BXK8U,ftbUjJ6Gsazg,966.9,98.76
VEDSMTavbQwk,IUykT5z5LcPW,RKad98cTxhSb,1534.9,66.9
DzNM8wrcMGFH,0UHKKyYmxWfq,K0qPVGdA91KO,779,34.86
NpJz7zF9U1ae,MJ82dNJNiV7U,2a07LobkzHUx,95.03,60.35
mHyhzcUeLGj2,wdV7yJzaz3Su,coi9xkdo66JI,135.91,48.71
StM5K4TLyrt5,V3ksL8RRt2uO,cijw7pZK3THP,37.89,72.67
Q97dFuo1kaq9,vndXhZ66Bwpl,1DpugyRBC5sk,28.82,16.92
07j6mlMhSVtx,2RxPIb6Sjlm1,V74ci3dl1Npa,222.98,31.89
kxa1InBj9gwP,DXG0TFaZjGHO,V8Stg8HdXCTe,36.89,59
P5R6jr1qZdh4,YCMS6jUWbEbe,2IxTbqKqgUdA,139.98,14.91
HqV5f8K2UYoA,CBuRjOln99hg,Wk0JznmZOo6h,83.36,6.87
j5rwgECNf14O,tfgKHMdnTKpJ,RsUgQvBvc24M,185.6,21.82
43It0OEHVyJe,l0Q038BC2u3G,5Tuxay3bG3t7,403.9,31
ddXx4T93MeaI,V84ooqHQgeH2,STj3c88kfxpu,167,20.9
NXDsEGbl1pUC,E9OiMOkPkNam,coi9xkdo66JI,318.33,27.57
MhDudBaAab78,aYw1jx6U0ZzQ,VnAPb1lEZYQ6,3.49,30.66
XupzjrovQeez,kuUbPNBMgk7o,tYbtiPwsAhmw,109.82,50.83
YTztQOHlvuBg,SESkOgF0nWnh,YVBAT3QqF9Qj,89.1,34.6
xfXLgLbCo5BC,06Zem5ml9euJ,l1pYW6GBnPMr,68,20.9
gVMP1bPDg69L,ro08JPncYzLh,r7VxefoTVHbb,509.99,21.76
9G9EHbafs7NW,lkPBqpnGNyKe,O04i82YS0uAJ,165,9.45
