90K0C1fIyQUf,toys,491,19,12,16
qejhpMGGVcsl,watches_gifts,440,18,14,17
qUS5d2pEAyxJ,costruction_tools_garden,2200,16,16,16
639iGvMyv0De,toys,1450,68,3,48
1lycYGcsic2F,toys,300,17,4,12
TpFZIk33uyGn,toys,2800,16,31,39
Y0T4Ca4BXK8U,bed_bath_table,3975,46,12,43
IUykT5z5LcPW,toys,250,45,15,35
0UHKKyYmxWfq,toys,1200,30,23,30
MJ82dNJNiV7U,toys,1500,30,5,20
wdV7yJzaz3Su,toys,4338,17,12,14
V3ksL8RRt2uO,toys,350,21,22,22
vndXhZ66Bwpl,toys,500,16,12,22
2RxPIb6Sjlm1,toys,300,38,19,22
DXG0TFaZjGHO,toys,200,16,7,11
YCMS6jUWbEbe,toys,4000,45,20,100
CBuRjOln99hg,auto,350,20,15,15
tfgKHMdnTKpJ,toys,425,17,11,14
l0Q038BC2u3G,health_beauty,4200,30,10,20
V84ooqHQgeH2,toys,200,20,5,15
E9OiMOkPkNam,toys,335,17,11,16
aYw1jx6U0ZzQ,toys,300,27,25,27
kuUbPNBMgk7o,toys,2150,30,19,25
SESkOgF0nWnh,cool_stuff,1600,42,25,15
06Zem5ml9euJ,toys,175,17,6,13
ro08JPncYzLh,garden_tools,1650,30,22,30
lkPBqpnGNyKe,toys,650,36,15,25
saFIRNuu8V6H,toys,1500,20,30,30
uicu7Mpz6xlZ,toys,950,100,5,20
uCnShK796Rpb,toys,1700,28,14,22
tRV6VjdwdLAm,toys,1500,40,30,30
Hwaj6cncrjwO,toys,1300,30,30,30
YgnBaIterOVh,toys,2650,16,16,62
SLTlrWtcYt1m,toys,1750,37,22,40
yZJweQSasMAW,toys,350,19,19,13
kgF2KLJ8Ao3M,toys,107,7,7,10
8kUYWjdaVCxf,toys,250,41,2,29
QzAC1fDWMbmk,toys,100,11,11,11
R2u3pJSgF7Gr,toys,200,19,9,12
lSVmLWTOmgtw,toys,400,16,16,22
bDhxHlkU0GeF,toys,1100,22,21,16
MeFPAUcWfyAo,toys,1500,18,35,48
Mh5csf65CB6I,toys,900,28,29,12
hfEa3c65LTA2,toys,5950,20,20,20
Pb29t2XBfP6Q,furniture_decor,700,35,4,30
th6S1t44GAij,toys,1256,28,26,30
fUSMr8Wo77AI,toys,70,19,4,15
qI5i1mUxo5tX,fashion_shoes,400,29,7,16
AQRgJU930yvK,toys,5775,104,35,30
VCOwCoc0C3aj,toys,1200,30,4,20
f21OMkeWX2ZC,toys,30000,75,58,65
mKDM0qdFnNNd,toys,127,18,10,14
aZ1aneUqyncU,toys,125,19,5,11
ch26pynh9FL6,sports_leisure,1182,21,16,17
eTlPil30tvIn,toys,5950,20,30,80
DXG0TFaZjGHO,toys,200,16,7,11
htOWZMHmysDe,toys,14900,40,60,40
GJ4e2xEfaCmh,auto,75,17,8,13
EZlH1lJVfFqj,sports_leisure,1017,42,21,27
zTW2bowvLdj9,toys,100,19,2,19
VO111AOA1QIP,baby,550,50,10,50
mfq8n5MEY4eP,toys,378,21,14,14
TdryLJINHQ9O,toys,800,30,10,30
B2udqVNGe7sU,toys,300,30,15,15
IsLB3oNMsX7k,furniture_decor,8950,30,35,30
7IfEqKdKlG9j,toys,200,16,10,16
YG7qG1MQlhjp,toys,200,18,3,20
nS95HUh6SK36,bed_bath_table,1600,49,7,40
cT3PvVNqyIpQ,bed_bath_table,5350,40,16,50
hoBYqNvOyd5V,housewares,30000,60,60,60
2oRZ0O0Cvxg1,toys,2150,42,10,22
UjLE7WsWfgrO,construction_tools_construction,450,16,14,11
nvbYOXncMsv0,toys,600,37,12,31
5WcLgWtO04vH,toys,400,20,2,15
jyqvHPkDKFDV,toys,567,26,12,26
